 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Kasturi Motors,3.8, 27 ,2005,99999999,0,0,none
 Go Auto,4.1, 28 ,2008,99999999,0,0,http://www.mahindrafirstchoice.com
 Volkswagen Gurugram,0, 0 ,2016,99999999,0,0,http://www.volkswagen.co.in
 T R Sawhney Motors Pvt Ltd,0, 0 ,2016,99999999,0,0,http://www.trsawhneymotors.com/
 SAINIK CAR OPTIONS AND SERVICES PVT LTD,3.8, 49 ,1999,99999999,0,0,none
 Isuzu,5.0, 2 ,2014,99999999,0,0,http://Www.isuzu.in
 Concorde Motors India Ltd,3.0, 5 ,NA,99999999,0,0,http://www.concordemotors.com
 Wahe Guru Motor,3.7, 14 ,NA,99999999,0,0,none
 Kumar Motors & Properties,3.8, 12 ,2001,99999999,0,0,none
 Drs Motors Pvt Ltd,3.7, 11 ,NA,99999999,0,0,http://www.fiat-india.com
 Prem Motors Pvt Ltd,5.0, 1 ,2015,99999999,0,0,none
 Him Motors Pvt Ltd,3.8, 43 ,NA,99999999,0,0,none
 Car Trade,4.1, 31 ,1998,99999999,0,0,http://www.carzvilla.com
 Gautam Spare Parts & Accessories,4.5, 24 ,2001,99999999,0,0,none
 GURU JI MOTORS,4.1, 15 ,2011,99999999,0,0,http://www.cartrade.com
 CAR BAZAR,3.8, 12 ,1994,99999999,0,0,none
 East Delhi Finlease Co. Pvt. Ltd.,4.0, 7 ,1994,99999999,0,0,none
 Concorde Motors,3.2, 6 ,NA,99999999,0,0,none
 J K Moto Corp,3.4, 41 ,1994,99999999,0,0,http://www.mahindrafirstchoice.com
 Car Addiction,4.0, 43 ,2011,99999999,0,0,none
 Uppal Motors,3.4, 14 ,1999,99999999,0,0,none
 Sahni Motor Co,3.8, 16 ,1985,99999999,0,0,http://www.sahnimotors.com
 Kapoor Cars House,3.8, 12 ,NA,99999999,0,0,none
 ADZ CAR INDIA PVT LTD,5.0, 1 ,2010,99999999,0,0,http://www.adzcarindia.com
 Lucky Motors,3.8, 18 ,1990,99999999,0,0,http://www.luckymotors.com
 Islam Motors Pvt Ltd.,3.7, 16 ,1999,99999999,0,0,none
 MOHAN CAR ACCESSORIES,5.0, 7 ,2008,99999999,0,0,none
 T R .Sawhney Motors,3.5, 2 ,2015,99999999,0,0,none
 Ad Velocity India Ltd,3.3, 246 ,2013,99999999,0,0,http://www.advelocityindia.com
 Sunrise Hyundai,3.8, 51 ,2013,99999999,0,0,http://www.sunrisehyundai.in
 Sagar Motors,4.0, 23 ,2003,99999999,0,0,none
 Ghai motors,3.8, 29 ,1987,99999999,0,0,none
 Bedi Car Zone,3.9, 14 ,2005,99999999,0,0,none
 Royal Motors,3.8, 25 ,NA,99999999,0,0,none
 DD MOTORS,5.0, 1 ,2016,99999999,0,0,none
 Vipul Motors Pvt Ltd,3.8, 19 ,NA,99999999,0,0,none
 T & T Motors Pvt Limited,4.0, 195 ,NA,99999999,0,0,http://www.tntmotorsindia.com
 Ruby Motors,4.5, 17 ,NA,99999999,0,0,none
 Bholay Motors,4.3, 6 ,NA,99999999,0,0,none
 ,, 0 ,NA,99999999,0,0,none
 Indraprastha Automobiles Pvt Ltd,4.1, 273 ,2004,99999999,0,0,http://www.indraprasthaautomobiles.co.in
 Trans Automobile,3.8, 55 ,NA,99999999,0,0,none
 DELHI MOTORS,3.5, 13 ,1995,99999999,0,0,none
 Carvikreta.com,4.3, 19 ,NA,99999999,0,0,none
 City Car Care,3.4, 29 ,NA,99999999,0,0,none
 Kapoor Diesel Garage Pvt Ltd,3.9, 26 ,NA,99999999,0,0,none
 Anil's Islam Motors,3.5, 39 ,1970,99999999,0,0,none
 Vinayak Motors,4.1, 13 ,NA,99999999,0,0,none
 Bhanu Motor Pvt Ltd,3.5, 60 ,2012,99999999,0,0,http://www.bhanumotor.in
 Kashyap Fiat Vehicle Works Pvt Ltd,4.1, 11 ,2014,99999999,0,0,none
 Branding wheels,0, 0 ,2014,99999999,0,0,none
 LMC Automotive Co. Pvt  Ltd.,4.8, 4 ,2015,99999999,0,0,none
 Skyline Automobiles,3.4, 8 ,NA,99999999,0,0,none
 Magna Motors,4.1, 27 ,NA,99999999,0,0,none
 Orion Automobiles PVT LTD,3.8, 51 ,NA,99999999,0,0,none
 Gautam Automobiles,3.4, 5 ,NA,99999999,0,0,none
 Grace Toyota Cosmic Motors India Pvt Ltd,4.0, 1 ,NA,99999999,0,0,none
 Volkswagen Ncr East,3.8, 704 ,2014,99999999,0,0,http://www.volkswagen.co.in
 Deep Automobiles,3.3, 31 ,NA,99999999,0,0,none
 HARSH CAR CARE,3.0, 2 ,1998,99999999,0,0,none
 JAI Bharat Auto Agencies,3.7, 11 ,NA,99999999,0,0,none
 Patel Auto Services Pvt Ltd,4.3, 57 ,NA,99999999,0,0,none
 Saacha sauda car bazar,0, 0 ,NA,99999999,0,0,none
 Renault Mayapuri,3.8, 173 ,2015,99999999,0,0,none
 QUTAB AUTO Pvt. Ltd.,4.0, 2 ,2002,99999999,0,0,http://www.qutabauto.com
 Rohan Motors,4.1, 14 ,NA,99999999,0,0,none
 Shakti Motors,3.2, 5 ,2000,99999999,0,0,none
 Jemson Motors,3.4, 16 ,1962,99999999,0,0,http://Www.jemsonmotors.co.in
 Himgiri Cars Pvt Ltd,3.2, 6 ,NA,99999999,0,0,http://www.himgiricars.com
 Perfect Motors,3.0, 4 ,NA,99999999,0,0,none
 Ravi Auto Deals,3.8, 9 ,NA,99999999,0,0,none
 Deep Motors,3.0, 1 ,NA,99999999,0,0,none
 Fahrenheit Isuzu,3.8, 21 ,NA,99999999,0,0,none
 Hindan motors,0, 0 ,2002,99999999,0,0,none
 Vivek Autolinks,3.9, 145 ,NA,99999999,0,0,http://www.vivekautolinks.com
 Apra Auto India Pvt Ltd,3.3, 13 ,NA,99999999,0,0,http://www.apraauto.com
 R K Motors,5.0, 1 ,NA,99999999,0,0,none
 Rehan motors,0, 0 ,2016,99999999,0,0,none
 Tuli Fiat,3.9, 18 ,1999,99999999,0,0,http://www.tulimotors.com
 NEW MAAN MOTORS,3.0, 5 ,1990,99999999,0,0,none
 BABAR SONS,4.0, 10 ,NA,99999999,0,0,none
 Rohit Force,3.9, 29 ,2015,99999999,0,0,http://www.forcemotors.com
 Veera Motors,3.8, 4 ,NA,99999999,0,0,none
 VOHRA CARS,3.3, 28 ,2000,99999999,0,0,none
 jolly motors,2.3, 2 ,1999,99999999,0,0,none
 JAGGI MOTORS,3.4, 12 ,2000,99999999,0,0,none
 Bala Ji Car Bazar,4.1, 20 ,1993,99999999,0,0,none
 Neo Datsun,3.7, 391 ,NA,99999999,0,0,http://www.neodatsun.co.in
 Chawla Motors & Estates,3.2, 19 ,1973,99999999,0,0,none
 Dc car point,4.0, 2 ,2014,99999999,0,0,none
 Noida Car Point,3.3, 13 ,2000,99999999,0,0,none
 AVRY MOTORS,4.0, 6 ,NA,99999999,0,0,none
 RANA CAR FASHION,3.9, 16 ,2002,99999999,0,0,none
 Csd Cars For Defence Sainiks Option,3.7, 20 ,NA,99999999,0,0,none
 Super Motors,3.2, 9 ,NA,99999999,0,0,none
 JKM MOTORS,0, 0 ,1990,99999999,0,0,http://www.jkmmotor.com
 Mr. Car auto company ltd.,4.3, 2 ,2016,99999999,0,0,none
 Prince Motor Links Pvt Ltd,3.8, 27 ,2008,99999999,0,0,none
 Khurana Automobiles,4.2, 33 ,2001,99999999,0,0,none
 S S Motors,4.3, 4 ,2000,99999999,0,0,none
 Sunny Dhawan Motor,3.8, 5 ,1977,99999999,0,0,none
 PUNJABI BAGH MOTORS AND PROPERTIES,3.8, 11 ,2012,99999999,0,0,none
 Majestic Cars,3.8, 6 ,2003,99999999,0,0,http://www.majesticcars.co.in
 Magus Car Ltd,3.4, 5 ,NA,99999999,0,0,http://www.maguscars.com
 Cargo Motors PVT LTD,4.5, 2 ,NA,99999999,0,0,none
 Chadha Motor,3.5, 8 ,2001,99999999,0,0,http://www.chadhamotors.com
 The New India Assurance Company Ltd,4.3, 3 ,NA,99999999,0,0,none
 Prince Motor Links .pvt. Ltd,3.9, 96 ,2011,99999999,0,0,none
 Pal Motors,3.7, 9 ,NA,99999999,0,0,none
 My car deals,3.5, 2 ,1987,99999999,0,0,none
 Car Trade.com,0, 0 ,2012,99999999,0,0,http://www.carzunlimited.in
 BENZ MOTORS,3.6, 8 ,1999,99999999,0,0,none
 Jhelum Motors,4.5, 6 ,1988,99999999,0,0,none
 Mahalaxmi Motors,3.0, 1 ,NA,99999999,0,0,none
 First Choice,3.6, 29 ,2011,99999999,0,0,http://www.Mahindrafirstchoice.com
 Dinco Motors,4.5, 4 ,2008,99999999,0,0,http://www.dincomotors.com
 Maken Motors,5.0, 1 ,2008,99999999,0,0,none
 Alva Auto Spares Pvt Ltd,4.2, 36 ,2012,99999999,0,0,none
 Pankaj Motors,3.3, 3 ,NA,99999999,0,0,none
 Haryana Motors,0, 0 ,NA,99999999,0,0,none
 Premier Ltd,3.3, 78 ,NA,99999999,0,0,http://www.premier.co.in
 Dwarka Motors & Properties,3.4, 7 ,NA,99999999,0,0,none
 Rajeev Motors Ltd,4.3, 27 ,NA,99999999,0,0,none
 Zig Wheels,3.0, 19 ,NA,99999999,0,0,http://www.zigwheels.com
 Magic Motors.,3.4, 17 ,2004,99999999,0,0,none
 Raj Motors,3.4, 7 ,2007,99999999,0,0,none
 Shyam Motor,3.1, 6 ,NA,99999999,0,0,none
 G G Motors,3.3, 3 ,1998,99999999,0,0,none
 S K CNG Car A C,3.8, 4 ,1997,99999999,0,0,none
 Genson Cars,3.3, 6 ,NA,99999999,0,0,none
 Grd Motors,3.2, 10 ,NA,99999999,0,0,none
 East Delhi Finlease Pvt Ltd,3.0, 12 ,NA,99999999,0,0,none
 Car Zone,3.8, 17 ,NA,99999999,0,0,none
 Chaddha Motors,3.3, 4 ,NA,99999999,0,0,none
 Rahul motors,5.0, 3 ,2014,99999999,0,0,none
 Kasana Motors,4.1, 8 ,2000,99999999,0,0,none
 CAR SHRINGAR.,4.2, 7 ,1996,99999999,0,0,http://www.car.com
 Samara Auto Zone,4.0, 2 ,NA,99999999,0,0,none
 City Motors,3.8, 10 ,1999,99999999,0,0,none
 True Value,3.8, 5 ,2002,99999999,0,0,none
 Mohan Motors,2.0, 5 ,NA,99999999,0,0,none
 Sania Auto Mobiles,0, 0 ,NA,99999999,0,0,none
 AD ZONE,5.0, 1 ,2014,99999999,0,0,http://www.adzoneplanet.com
 Boss key automotives,0, 0 ,NA,99999999,0,0,none
 Sam Motors,2.0, 1 ,2007,99999999,0,0,none
 Shakeel Motors,3.5, 10 ,2010,99999999,0,0,none
 HopCar,4.5, 2 ,2015,99999999,0,0,http://www.hopcar.in
 Motor dot com,0, 0 ,1996,99999999,0,0,none
 Click Garage,0, 0 ,2014,99999999,0,0,none
 Car trade.com,5.0, 1 ,2000,99999999,0,0,http://Www.cartrade.com
 Kohli Motors,4.0, 1 ,NA,99999999,0,0,none
 Pal Motors,3.6, 5 ,1997,99999999,0,0,none
